normalized_tag,count,raw_tags
conditional_statements,141,"{""Conditional Statements"": 141}"
dynamicprogramming,140,"{""DynamicProgramming"": 140}"
dfs,138,"{""DFS"": 138}"
stack,124,"{""Stack"": 120, ""stack"": 4}"
graph_algos,122,"{""Graph Algos"": 122}"
regular_expressions,121,"{""Regular Expressions"": 121}"
bit_magic,119,"{""Bit Magic"": 119}"
interactive,115,"{""interactive"": 115}"
simple_algos,109,"{""Simple Algos"": 109}"
advanced_algorithms,108,"{""Advanced Algorithms"": 108}"
bitwise_operation,108,"{""Bitwise Operation"": 102, ""bitwise-operation"": 6}"
flows,108,"{""flows"": 108}"
prefix_sum,107,"{""Prefix Sum"": 86, ""prefix-sum"": 21}"
hash_table,102,"{""Hash Table"": 102}"
linked_list,94,"{""Linked List"": 94}"
segment_trees_revisited,94,"{""Segment trees revisited"": 94}"
graphs,91,"{""Graphs"": 91}"
bfs,87,"{""BFS"": 80, ""bfs"": 7}"
basicprogramming,85,"{""BasicProgramming"": 85}"
case_work,83,"{""Case work"": 83}"
traversals,82,"{""Traversals"": 82}"
datastructures,81,"{""DataStructures"": 81}"
polynomials_and_generating_functions,81,"{""Polynomials and generating functions"": 81}"
advanced_data_structures,80,"{""Advanced Data Structures"": 80}"
lists,80,"{""Lists"": 80}"
algorithms_dynamic_programming,79,"{""Algorithms - Dynamic Programming"": 79}"
arithmetic,79,"{""Arithmetic"": 79}"
fft,75,"{""FFT"": 10, ""fft"": 65}"
backtracking,74,"{""Backtracking"": 66, ""backtracking"": 8}"
string_suffix_structures,71,"{""string suffix structures"": 71}"
1d_arrays,70,"{""1D Arrays"": 70}"
gcd,70,"{""GCD"": 69, ""gcd"": 1}"
mathematics_number_theory,70,"{""Mathematics - Number Theory"": 70}"
sliding_window,70,"{""Sliding Window"": 38, ""sliding-window"": 32}"
logic,63,"{""Logic"": 63}"
graph_matchings,62,"{""graph matchings"": 62}"
algorithms_implementation,61,"{""Algorithms - Implementation"": 61}"
binary_search_tree,59,"{""Binary Search Tree"": 59}"
advanced_tree_structures,56,"{""Advanced Tree Structures"": 56}"
easy,55,"{""easy"": 55}"
integer_factorisation,54,"{""Integer Factorisation"": 54}"
algorithms_graph_theory,52,"{""Algorithms - Graph Theory"": 52}"
frequency_arrays,52,"{""Frequency Arrays"": 52}"
prime_number,52,"{""Prime Number"": 52}"
segment_trees,51,"{""Segment Trees"": 51}"
mathematics_combinatorics,50,"{""Mathematics - Combinatorics"": 50}"
maths,49,"{""maths"": 49}"
performance,49,"{""Performance"": 49}"
loops,48,"{""Loops"": 48}"
numbertheory,48,"{""NumberTheory"": 48}"
graphtheory,47,"{""GraphTheory"": 47}"
map,47,"{""Map"": 29, ""map"": 18}"
ternary_search,47,"{""Ternary Search"": 2, ""ternary search"": 45}"
numbers,46,"{""Numbers"": 46}"
queue,46,"{""Queue"": 42, ""queue"": 4}"
sets,46,"{""Sets"": 46}"
sieve,45,"{""Sieve"": 15, ""sieve"": 30}"
algorithms_strings,43,"{""Algorithms - Strings"": 43}"
data_structures_advanced,42,"{""Data Structures - Advanced"": 42}"
meet_in_the_middle,40,"{""Meet in the middle"": 4, ""meet-in-the-middle"": 36}"
divisors,39,"{""Divisors"": 38, ""divisors"": 1}"
queues,39,"{""Queues"": 39}"
two_pointer_algorithm,39,"{""two-pointer-algorithm"": 39}"
algebra,38,"{""Algebra"": 38}"
ascii_art,38,"{""ASCII Art"": 38}"
binary,38,"{""Binary"": 38}"
stl,38,"{""STL"": 38}"
binarysearch,37,"{""BinarySearch"": 37}"
maps,37,"{""Maps"": 37}"
heap,36,"{""Heap"": 35, ""heap"": 1}"
sieve_of_eratosthenes,35,"{""Sieve of Eratosthenes"": 35}"
queries,34,"{""Queries"": 34}"
dp_approach,33,"{""DP Approach"": 33}"
expression_parsing,33,"{""expression parsing"": 33}"
mathematics_algebra,33,"{""Mathematics - Algebra"": 33}"
mathematics_fundamentals,32,"{""Mathematics - Fundamentals"": 32}"
series,31,"{""series"": 31}"
algorithms_game_theory,30,"{""Algorithms - Game Theory"": 30}"
counting,30,"{""Counting"": 28, ""counting"": 2}"
dp_greedy,30,"{""dp & greedy"": 30}"
misc,30,"{""Misc"": 30}"
2d_arrays,29,"{""2D Arrays"": 29}"
expected_value,29,"{""Expected Value"": 28, ""expected-value"": 1}"
mathematics_geometry,29,"{""Mathematics - Geometry"": 29}"
modular_exponentiation,29,"{""Modular Exponentiation"": 29}"
trie,29,"{""Trie"": 29}"
advanced_data_structure,28,"{""Advanced Data Structure"": 28}"
easy_medium,28,"{""easy-medium"": 28}"
advanced_dp,27,"{""Advanced DP"": 27}"
breadth_first_search,27,"{""Breadth-First Search"": 27}"
palindrome,27,"{""palindrome"": 27}"
algorithms_bit_manipulation,26,"{""Algorithms - Bit Manipulation"": 26}"
cakewalk,26,"{""cakewalk"": 26}"
debugging,26,"{""Debugging"": 26}"
preprocessing,26,"{""Preprocessing"": 26}"
priority_queue,26,"{""Priority Queue"": 19, ""Priority-Queue"": 1, ""priority-queue"": 6}"
stringalgorithms,26,"{""StringAlgorithms"": 26}"
algorithms_search,25,"{""Algorithms - Search"": 25}"
bitmask,25,"{""Bitmask"": 25}"
memoization,25,"{""Memoization"": 25}"
strong_connectivity,25,"{""Strong connectivity"": 25}"
algorithms_greedy,24,"{""Algorithms - Greedy"": 24}"
pre_processing,24,"{""Pre processing"": 24}"
prime_divisors,24,"{""Prime Divisors"": 24}"
simulation,24,"{""Simulation"": 23, ""simulation"": 1}"
combinatorial,23,"{""Combinatorial"": 23}"
sequences_and_progression,23,"{""Sequences and Progression"": 23}"
set_theory,23,"{""Set Theory"": 23}"
2_sat,22,"{""2 SAT"": 2, ""2-sat"": 20}"
advanced_graph_algos,22,"{""Advanced Graph Algos"": 22}"
bruteforce,22,"{""BruteForce"": 22}"
hashmaps,22,"{""Hashmaps"": 22}"
simple,22,"{""simple"": 22}"
stacks,22,"{""Stacks"": 22}"
cryptography,21,"{""Cryptography"": 21}"
date_time,21,"{""Date Time"": 20, ""Date-Time"": 1}"
groupings,21,"{""Groupings"": 21}"
mathematics_probability,21,"{""Mathematics - Probability"": 21}"
segmenttrees,21,"{""SegmentTrees"": 21}"
tree_queries,21,"{""Tree queries"": 21}"
bottom_up,20,"{""Bottom-up"": 20}"
fenwick_trees,20,"{""Fenwick Trees"": 20}"
heap_priority_queue,20,"{""Heap (Priority Queue)"": 20}"
integer_division,20,"{""Integer Division"": 20}"
parsing,20,"{""Parsing"": 20}"
challenge_problem,19,"{""Challenge Problem"": 19}"
cpp,19,"{""CPP"": 19}"
depth_first_search,19,"{""Depth-First Search"": 18, ""depth-first-search"": 1}"
monotonic_stack,19,"{""Monotonic Stack"": 15, ""Monotonic stack"": 4}"
permutation,19,"{""permutation"": 19}"
square_root_algorithms,19,"{""Square root algorithms"": 19}"
bitmasking,18,"{""Bitmasking"": 18}"
fibonacci,18,"{""Fibonacci"": 18}"
geometric,18,"{""Geometric"": 18}"
pattern_printing,18,"{""pattern-printing"": 18}"
permutations,18,"{""Permutations"": 18}"
permutations_combinations,18,"{""Permutations & Combinations"": 18}"
cg,17,"{""cg"": 17}"
chinese_remainder_theorem,17,"{""Chinese Remainder Theorem"": 2, ""chinese remainder theorem"": 14, ""chinese-remainder-theorem"": 1}"
computational_geometry,17,"{""Computational Geometry"": 17}"
logical_thinking,17,"{""logical-thinking"": 17}"
python_regex_and_parsing,17,"{""Python - Regex and Parsing"": 17}"
sweep_line_algorithms,17,"{""Sweep line algorithms"": 17}"
bitmanipulation,16,"{""Bitmanipulation"": 16}"
bits,16,"{""Bits"": 16}"
ciphers,16,"{""Ciphers"": 16}"
inbuilt_functions,16,"{""Inbuilt functions"": 16}"
set,16,"{""Set"": 1, ""set"": 15}"
directed_graphs,15,"{""Directed Graphs"": 6, ""Directed graphs"": 15}"
factorial,15,"{""factorial"": 15}"
lcm,15,"{""LCM"": 15}"
segment_tree,15,"{""Segment Tree"": 2, ""Segment-Tree"": 11, ""segment-tree"": 2}"
string_matching,15,"{""String Matching"": 15}"
union_find,15,"{""Union Find"": 10, ""union-find"": 5}"
algorithms_sorting,14,"{""Algorithms - Sorting"": 14}"
bit,14,"{""BIT"": 14}"
java,14,"{""Java"": 14}"
multiset,14,"{""Multiset"": 14}"
binary_representation,13,"{""Binary Representation"": 13}"
chess,13,"{""Chess"": 12, ""chess"": 1}"
matrixexponentiation,13,"{""MatrixExponentiation"": 13}"
number_system,13,"{""Number System"": 13}"
python_sets,13,"{""Python - Sets"": 13}"
python_strings,13,"{""Python - Strings"": 13}"
shortest_path,13,"{""Shortest Path"": 9, ""Shortest-path"": 4}"
suffix_sum,13,"{""Suffix Sum"": 13}"
taran_1407,13,"{""taran_1407"": 13}"
traversal,13,"{""Traversal"": 13}"
utkarsh_adm,13,"{""utkarsh_adm"": 13}"
binary_search_on_answer,12,"{""Binary Search on Answer"": 12}"
disjoint_set_union,12,"{""Disjoint Set Union"": 12}"
divisibility,12,"{""Divisibility"": 12}"
exponentiation,12,"{""Exponentiation"": 12}"
gametheory,12,"{""GameTheory"": 12}"
modulo_multiplicative_inverse,12,"{""Modulo Multiplicative Inverse"": 12}"
online_queries,12,"{""Online Queries"": 12}"
polygons,12,"{""Polygons"": 12}"
primes,12,"{""Primes"": 9, ""primes"": 3}"
python_numpy,12,"{""Python - Numpy"": 12}"
subsequence,12,"{""Subsequence"": 11, ""subsequence"": 1}"
ap,11,"{""AP"": 11}"
arbitrary_precision,11,"{""Arbitrary Precision"": 11}"
deque,11,"{""Deque"": 11}"
design_pattern,11,"{""Design-Pattern"": 11}"
dp_bitmask,11,"{""DP Bitmask"": 11}"
inclusion_exclusion_principle,11,"{""Inclusion Exclusion Principle"": 11}"
square_root_decomposition,11,"{""Square Root Decomposition"": 11}"
algorithms_recursion,10,"{""Algorithms - Recursion"": 10}"
binary_exponentiation,10,"{""Binary Exponentiation"": 10}"
binary_tree,10,"{""Binary Tree"": 10}"
cartesian_coordinate_system,10,"{""Cartesian Coordinate System"": 10}"
disjointset,10,"{""DisjointSet"": 10}"
linear_algebra,10,"{""Linear Algebra"": 10}"
lowest_common_ancestor,10,"{""Lowest Common Ancestor"": 10}"
transformations,10,"{""Transformations"": 10}"
tries,10,"{""Tries"": 10}"
algorithms_warmup,9,"{""Algorithms - Warmup"": 9}"
data_structures_stacks,9,"{""Data Structures - Stacks"": 9}"
dijkstra,9,"{""Dijkstra"": 4, ""dijkstra"": 5}"
game,9,"{""game"": 9}"
matrix_exponentiation,9,"{""Matrix Exponentiation"": 8, ""matrix-exponentiation"": 1}"
pattern_searching,9,"{""Pattern Searching"": 9}"
pigeonhole_principle,9,"{""Pigeonhole Principle"": 9}"
security,9,"{""Security"": 9}"
sssp,9,"{""sssp"": 9}"
start37,9,"{""start37"": 9}"
statistics,9,"{""Statistics"": 9}"
tree_algos,9,"{""Tree Algos"": 9}"
algorithms_constructive_algorithms,8,"{""Algorithms - Constructive Algorithms"": 8}"
big_integer,8,"{""Big Integer"": 7, ""big-integer"": 1}"
connected_components,8,"{""Connected Components"": 8}"
cook141,8,"{""cook141"": 8}"
data_science,8,"{""Data Science"": 8}"
dijkstra_s_algorithm,8,"{""Dijkstra's Algorithm"": 8}"
division,8,"{""Division"": 8}"
enumeration,8,"{""Enumeration"": 8}"
esoteric_languages,8,"{""Esoteric Languages"": 8}"
heaps,8,"{""Heaps"": 8}"
interpreters,8,"{""Interpreters"": 8}"
jeevanjyot,8,"{""jeevanjyot"": 8}"
knapsack,8,"{""Knapsack"": 5, ""knapsack"": 3}"
matrix_multiplication,8,"{""Matrix Multiplication"": 8}"
merge_sort,8,"{""Merge Sort"": 8}"
minimum_spanning_trees,8,"{""Minimum Spanning Trees"": 8}"
minimumspanningtree,8,"{""MinimumSpanningTree"": 8}"
offline_queries,8,"{""Offline Queries"": 8}"
physics,8,"{""Physics"": 8}"
polynomial,8,"{""Polynomial"": 6, ""polynomial"": 2}"
primefactorization,8,"{""PrimeFactorization"": 8}"
python_collections,8,"{""Python - Collections"": 8}"
refactoring,8,"{""Refactoring"": 8}"
sprague_grundy_theorem,8,"{""Sprague Grundy Theorem"": 8}"
tree_data_structure,8,"{""Tree Data Structure"": 8}"
vishesh_s,8,"{""vishesh_s"": 8}"
convex_hull,7,"{""Convex Hull"": 6, ""convex-hull"": 1}"
cycles,7,"{""Cycles"": 7}"
data_types,7,"{""Data Types"": 7}"
difference_arrays,7,"{""Difference Arrays"": 7}"
doubly_linked_list,7,"{""doubly-linked-list"": 7}"
dp_on_sequences,7,"{""DP on sequences"": 7}"
dp_on_trees,7,"{""DP on Trees"": 7}"
exun2021,7,"{""exun2021"": 7}"
factorials,7,"{""Factorials"": 7}"
gp,7,"{""GP"": 7}"
hash_function,7,"{""Hash Function"": 7}"
kingofnumbers,7,"{""kingofnumbers"": 7}"
kmp_algorithm,7,"{""KMP Algorithm"": 7}"
operators,7,"{""Operators"": 7}"
python_itertools,7,"{""Python - Itertools"": 7}"
python_math,7,"{""Python - Math"": 7}"
restricted,7,"{""Restricted"": 7}"
rolling_hash,7,"{""Rolling Hash"": 7}"
schedules,7,"{""schedules"": 7}"
simple_math,7,"{""Simple-math"": 7}"
start36,7,"{""start36"": 7}"
admin2,6,"{""admin2"": 6}"
bipartite_graphs,6,"{""Bipartite Graphs"": 6}"
circular_linked_list,6,"{""circular linked list"": 2, ""circular-linked-list"": 6}"
coloring,6,"{""Coloring"": 6}"
cook137,6,"{""cook137"": 6}"
digit_dp,6,"{""Digit DP"": 5, ""digit-dp"": 1}"
euclid_s_algorithm,6,"{""Euclid's Algorithm"": 6}"
factorization,6,"{""Factorization"": 3, ""factorization"": 3}"
fenwicktree,6,"{""FenwickTree"": 6}"
fermat_s_little_theorem,6,"{""Fermat's Little Theorem"": 6}"
filtering,6,"{""Filtering"": 6}"
flow,6,"{""Flow"": 2, ""flow"": 4}"
flow_networks,6,"{""Flow Networks"": 6}"
functional_programming,6,"{""Functional Programming"": 6}"
likecs,6,"{""likecs"": 6}"
medium,6,"{""medium"": 6}"
modularexponentiation,6,"{""Modularexponentiation"": 6}"
priorityqueue,6,"{""PriorityQueue"": 6}"
python_built_ins,6,"{""Python - Built-Ins"": 6}"
python_introduction,6,"{""Python - Introduction"": 6}"
segmented_sieve,6,"{""Segmented Sieve"": 6}"
subarray,6,"{""Subarray"": 6}"
subset,6,"{""subset"": 6}"
time,6,"{""time"": 6}"
top_down,6,"{""Top-down"": 6}"
tutorials,6,"{""Tutorials"": 6}"
veryeasy,6,"{""VeryEasy"": 6}"
2d_array,5,"{""2d array"": 5}"
binary_lifting,5,"{""Binary lifting"": 4, ""binary-lifting"": 1}"
bipartite,5,"{""Bipartite"": 3, ""bipartite"": 2}"
contribution_trick,5,"{""Contribution Trick"": 5}"
cook_off,5,"{""cook-off"": 5}"
dag_algos,5,"{""DAG Algos"": 5}"
data_structures_arrays,5,"{""Data Structures - Arrays"": 5}"
data_structures_queues,5,"{""Data Structures - Queues"": 5}"
data_structures_trees,5,"{""Data Structures - Trees"": 5}"
euler_totient_function,5,"{""Euler Totient Function"": 4, ""euler-totient-function"": 1}"
kadane_algorithm,5,"{""Kadane Algorithm"": 5}"
logarithm,5,"{""Logarithm"": 5}"
longest_increasing_subsequence,5,"{""Longest Increasing Subsequence"": 5}"
modulararithmetic,5,"{""Modulararithmetic"": 5}"
nim_game,5,"{""nim game"": 5}"
optimization_problems,5,"{""Optimization Problems"": 5}"
ordered_set,5,"{""Ordered Set"": 5}"
patterns,5,"{""Patterns"": 5}"
primality_checking,5,"{""Primality Checking"": 5}"
python_basic_data_types,5,"{""Python - Basic Data Types"": 5}"
regular_expression,5,"{""Regular Expression"": 5}"
sqrt_decomposition,5,"{""Sqrt Decomposition"": 2, ""Sqrt-Decomposition"": 3}"
start22,5,"{""start22"": 5}"
trigonometry,5,"{""Trigonometry"": 5}"
z_algorithm,5,"{""Z Algorithm"": 2, ""Z-algorithm"": 3}"
binarysearchtree,4,"{""BinarySearchTree"": 4}"
binomial_theorem,4,"{""Binomial Theorem"": 4}"
brainteaser,4,"{""Brainteaser"": 4}"
calculus,4,"{""Calculus"": 4}"
cook143,4,"{""cook143"": 4}"
coordinate_compression,4,"{""Coordinate Compression"": 3, ""coordinate-compression"": 1}"
data_structures_heap,4,"{""Data Structures - Heap"": 4}"
disjoint_set,4,"{""Disjoint Set"": 4}"
hard,4,"{""hard"": 4}"
hashmap,4,"{""HashMap"": 4}"
inequalities,4,"{""Inequalities"": 4}"
jan221,4,"{""jan221"": 4}"
jan222,4,"{""jan222"": 4}"
lazy_propagation,4,"{""Lazy Propagation"": 4}"
lucas_theorem,4,"{""Lucas Theorem"": 4}"
monotonic_queue,4,"{""Monotonic Queue"": 4}"
networks,4,"{""Networks"": 4}"
optimization,4,"{""optimization"": 4}"
persistent_segment_trees,4,"{""Persistent Segment Trees"": 4}"
persistent_structures,4,"{""Persistent Structures"": 4}"
probability_and_statistics,4,"{""Probability and Statistics"": 4}"
properties,4,"{""properties"": 4}"
recurrence_relation,4,"{""Recurrence Relation"": 4}"
sparse_table,4,"{""Sparse Table"": 4}"
start45,4,"{""start45"": 4}"
start50,4,"{""start50"": 4}"
string_algos,4,"{""String Algos"": 4}"
topological_sorting,4,"{""Topological Sorting"": 4}"
trygub_adm,4,"{""trygub_adm"": 4}"
0_1_knapsack,3,"{""0-1 Knapsack"": 3}"
algorithms_debugging,3,"{""Algorithms - Debugging"": 3}"
anil_adm,3,"{""anil_adm"": 3}"
aryanag_adm,3,"{""aryanag_adm"": 3}"
berezin,3,"{""berezin"": 3}"
binary_indexed_tree,3,"{""Binary Indexed Tree"": 3}"
bst,3,"{""bst"": 3}"
bucket_sort,3,"{""Bucket Sort"": 3}"
complete_search,3,"{""Complete Search"": 3}"
constructive_algo,3,"{""constructive algo"": 3}"
cook14,3,"{""cook14"": 3}"
daanish_adm,3,"{""daanish_adm"": 3}"
dag,3,"{""dag"": 3}"
darkshadows,3,"{""darkshadows"": 3}"
data_structures_disjoint_set,3,"{""Data Structures - Disjoint Set"": 3}"
david_adm,3,"{""david_adm"": 3}"
deadwing97,3,"{""deadwing97"": 3}"
dfs_order,3,"{""DFS Order"": 3}"
euler_tour,3,"{""Euler Tour"": 3}"
expectation,3,"{""Expectation"": 3}"
fibonacci_series,3,"{""Fibonacci Series"": 3}"
fractions,3,"{""Fractions"": 3}"
gaussian_elimination,3,"{""Gaussian Elimination"": 3}"
greatest_common_divisor,3,"{""greatest-common-divisor"": 3}"
gvaibhav21,3,"{""gvaibhav21"": 3}"
hld,3,"{""HLD"": 3}"
icl2018,3,"{""icl2018"": 3}"
inso2018,3,"{""inso2018"": 3}"
insomnia18,3,"{""insomnia18"": 3}"
kadane,3,"{""Kadane"": 3}"
kmaaszraa,3,"{""kmaaszraa"": 3}"
kmp,3,"{""KMP"": 3}"
lavish_adm,3,"{""lavish_adm"": 3}"
lexicographic_order,3,"{""Lexicographic Order"": 3}"
log_exp_pow,3,"{""log/exp/pow"": 3}"
machine_learning,3,"{""Machine Learning"": 3}"
manachers_algorithm,3,"{""Manachers Algorithm"": 3}"
matching,3,"{""Matching"": 3}"
maximum_bipartite_matching,3,"{""Maximum Bipartite Matching"": 3}"
modulo,3,"{""modulo"": 3}"
mst,3,"{""mst"": 3}"
randomized_algorithms,3,"{""Randomized Algorithms"": 3}"
range_minimum_queries,3,"{""Range Minimum Queries"": 3}"
real_life,3,"{""real life"": 3}"
sept15,3,"{""sept15"": 3}"
soumyadeep_21,3,"{""soumyadeep_21"": 3}"
sqrt_n_primality_check,3,"{""Sqrt N Primality Check"": 3}"
state_machines,3,"{""State Machines"": 3}"
strongly_connected_components,3,"{""Strongly Connected Components"": 3}"
substring,3,"{""Substring"": 3}"
sweep_line_algorithm,3,"{""Sweep line Algorithm"": 3}"
tejas_adm,3,"{""tejas_adm"": 3}"
topological_sort,3,"{""Topological Sort"": 3}"
triangles,3,"{""Triangles"": 3}"
tries_with_xor,3,"{""Tries with XOR"": 3}"
unicode,3,"{""Unicode"": 3}"
zappelectro,3,"{""zappelectro"": 3}"
abhi_inav,2,"{""abhi_inav"": 2}"
activity_selection,2,"{""Activity Selection"": 2}"
admin,2,"{""admin"": 2}"
aho_corasick,2,"{""Aho Corasick"": 2}"
akshatgirdhar8,2,"{""akshatgirdhar8"": 2}"
alei,2,"{""alei"": 2}"
anagram,2,"{""anagram"": 2}"
anton_adm,2,"{""anton_adm"": 2}"
april21,2,"{""april21"": 2}"
aug15,2,"{""aug15"": 2}"
avi224,2,"{""avi224"": 2}"
base,2,"{""base"": 2}"
binary_trees,2,"{""Binary Trees"": 2}"
binarytree,2,"{""BinaryTree"": 2}"
bipartitegraph,2,"{""BipartiteGraph"": 2}"
catalan_numbers,2,"{""Catalan Numbers"": 2}"
cenadar,2,"{""cenadar"": 2}"
challenge,2,"{""Challenge"": 1, ""challenge"": 1}"
chemthan,2,"{""chemthan"": 2}"
convolution,2,"{""Convolution"": 2}"
cook21,2,"{""cook21"": 2}"
counting_sort,2,"{""Counting Sort"": 2}"
coverings,2,"{""Coverings"": 2}"
cpp_strings,2,"{""cpp-strings"": 2}"
csns2021,2,"{""csns2021"": 2}"
cyclic_rotation,2,"{""Cyclic Rotation"": 2}"
data_structures_balanced_trees,2,"{""Data Structures - Balanced Trees"": 2}"
data_structures_trie,2,"{""Data Structures - Trie"": 2}"
dec19,2,"{""dec19"": 2}"
determinant,2,"{""Determinant"": 2}"
dilworth_theorem,2,"{""Dilworth Theorem"": 2}"
directed_acyclic_graphs,2,"{""Directed Acyclic Graphs"": 2}"
discrete_mathematics,2,"{""Discrete Mathematics"": 2}"
disjoint_sets,2,"{""disjoint sets"": 2}"
divideandconquer,2,"{""DivideAndConquer"": 2}"
dsu_on_trees,2,"{""DSU on Trees"": 2}"
error_detection,2,"{""Error Detection"": 2}"
euler_theorem,2,"{""Euler Theorem"": 1, ""euler-theorem"": 1}"
ezio_26,2,"{""ezio_26"": 2}"
floyd_warshall_s_algorithm,2,"{""Floyd Warshall's Algorithm"": 2}"
floydwarshall,2,"{""FloydWarshall"": 2}"
generating_functions,2,"{""Generating Functions"": 2}"
graph_theory,2,"{""Graph Theory"": 2}"
group_theory,2,"{""Group Theory"": 2}"
hamiltonian_cycle,2,"{""Hamiltonian Cycle"": 1, ""hamiltonian-cycle"": 1}"
hamming_distance,2,"{""Hamming Distance"": 2}"
heuristics,2,"{""Heuristics"": 2}"
icl2017,2,"{""icl2017"": 2}"
infy20,2,"{""infy20"": 2}"
inov_adm,2,"{""inov_adm"": 2}"
interpolation,2,"{""Interpolation"": 2}"
iterators,2,"{""Iterators"": 2}"
java_collections,2,"{""Java-Collections"": 2}"
jeevan_adm,2,"{""jeevan_adm"": 2}"
june222,2,"{""june222"": 2}"
kirchhoffs_matrix_tree_theorem,2,"{""Kirchhoffs Matrix Tree Theorem"": 2}"
kostya_by,2,"{""kostya_by"": 2}"
kruskal_s_algorithm,2,"{""Kruskal's Algorithm"": 2}"
lagrange_interpolation,2,"{""Lagrange Interpolation"": 2}"
language_features,2,"{""Language Features"": 2}"
line_sweep,2,"{""Line Sweep"": 1, ""Line-sweep"": 1}"
locapr18,2,"{""locapr18"": 2}"
long_challenge,2,"{""long-challenge"": 2}"
looping,2,"{""looping"": 2}"
ltime74,2,"{""ltime74"": 2}"
mani_adm,2,"{""mani_adm"": 2}"
march19,2,"{""march19"": 2}"
may16,2,"{""may16"": 2}"
medium_hard,2,"{""medium-hard"": 2}"
melfice,2,"{""melfice"": 2}"
mgch,2,"{""mgch"": 2}"
mobius_function,2,"{""Mobius Function"": 2}"
mobius_inversion,2,"{""Mobius Inversion"": 2}"
modular_arith,2,"{""modular-arith"": 2}"
mradul_adm,2,"{""mradul_adm"": 2}"
munch_01,2,"{""munch_01"": 2}"
next_greater_element,2,"{""Next Greater Element"": 2}"
nikhil_adm,2,"{""nikhil_adm"": 2}"
notsoloud,2,"{""notsoloud"": 2}"
numpy,2,"{""NumPy"": 2}"
oct16,2,"{""oct16"": 2}"
omelyanenko,2,"{""omelyanenko"": 2}"
palindromes,2,"{""palindromes"": 2}"
partitions,2,"{""Partitions"": 2}"
